title,description,tags,last_update,publisher,contact_nam,contact_email,url,direct_url,license,comments,type,access,category
METRO - Gerência de Operações,Canais de atendimento - Gerência de Operações,"transporte,atendimento,sac",29/10/2018,METRO,,,https://transparencia.metrosp.com.br/dataset/canais-de-atendimento-gerência-de-operações,,,,PDF,,metro
METRO - Demanda,Estatística do fluxo de usuários,"transporte, fluxo",27/11/2018,METRO,,,https://transparencia.metrosp.com.br/dataset/demanda,,,,"PDF,CSV",,metro
METRO - Infraestutura,Infraestutura - Dados de linhas e estações,"transporte, infraestrutura",22/11/2018,METRO,,,https://transparencia.metrosp.com.br/dataset/infraestrutura-dados-de-linhas-e-estações,,,,"PDF,CSV",,metro
METRO - Procedimentos,"Procedimentos - Guia ""Metrô Boa Viagem""","transporte, operação, regras",30/05/2017,METRO,,,https://transparencia.metrosp.com.br/dataset/procedimentos-guia-metrô-boa-viagem,,,,HTML,,metro
METRO - Visitas Monitoradas,Programa de Visitas Monitoradas,"transporte, operação, visitas",30/05/2017,METRO,,,https://transparencia.metrosp.com.br/dataset/programa-de-visitas-monitoradas,,,,HTML,,metro
METRO - Endereços,Relação dos endereços das estações,"transport, operação, endereços",28/08/2018,METRO,,,https://transparencia.metrosp.com.br/dataset/endereço-das-estações,,,,HTML,,metro
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SPTrans - Olhovivo (área  de desenvolvedores),A API do Olho Vivo provê informações em tempo real do monitoramento da frota de ônibus da cidade de São Paulo.,"transporte, gtfs, gps, tempo-real",tempo real,SPTrans,,,www.sptrans.com.br/desenvolvedores/,,,Para download do arquivo é necessário cadastro.,HTML,cadastro,sptrans
SPTrans - GTFS (última versão),GTFS Sptrans - atual,"transporte, gtfs",,SPTrans,,,www.sptrans.com.br/desenvolvedores/,,,,HTML,,sptrans
SPTrans - GTFS - outubro/2016,GTFS Sptrans - out/2016,"transporte, gtfs",out/2016,SPTrans,,,http://db4.scipopulis.com/hackemtu/sptrans/gtfs/gtfs-saopaulo_sp-20161027.zip,,,,csv,,sptrans
SPTrans - GTFS - outubro/2017,GTFS Sptrans - out/2017,"transporte, gtfs",out/2017,SPTrans,,,http://db4.scipopulis.com/hackemtu/sptrans/gtfs/gtfs-saopaulo_sp-20171001.zip,,,,csv,,sptrans
SPTrans - Dados históricos GPS - out/2016,Dados GPS Sptrans - out2016,,out/2016,SPTrans,,,http://db4.scipopulis.com/hackemtu/sptrans/gps/out2016/,,,,csv,,sptrans
SPTrans - Dados históricos GPS - out/2017,Dados GPS Sptrans - out2016,,out/2017,SPTrans,,,http://db4.scipopulis.com/hackemtu/sptrans/gps/out2017,,,,csv,,sptrans
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Seade - Informações dos Municípios Paulistas - IMP,"Mais de 1.700 variáveis sobre os municípios paulistas. Séries históricas, reunidas em diversos temas, como população, educação, condições de vida e habitação, entre outros.",,,seade,,,http://www.imp.seade.gov.br/frontend/#/,,,,HTML,,seade
Seade - Governo Aberto,Catálogo de mais de 400 bases de dados abertos (100 disponíveis para download) dos órgãos do Governo de São Paulo,,,seade,,,http://www.governoaberto.sp.gov.br/,,,,HTML,,seade
Seade - Microdados do Registro Civil,Dados detalhados sobre nascimentos e óbitos no Estado de São Paulo.,,,seade,,,http://produtos.seade.gov.br/produtos/mrc/,,,,HTML,,seade
Seade - Perfil Municipal,Principais indicadores para os municípios e regiões do Estado de São Paulo.,,,seade,,,http://www.perfil.seade.gov.br/,,,,HTML,,seade
Seade - Índice Paulista da Primeira Infância,Indicador da capacidade dos municípios paulistas em promover o desenvolvimento infantil dos 0 aos 6 anos.,,,seade,,,http://www.ippih.seade.gov.br/frontend/#/,,,,HTML,,seade
Seade - Guia de Serviços Públicos,Catálogo dos serviços públicos disponibilizados pelo Governo de São Paulo,,,seade,,,,,,,HTML,,seade
Seade - Relação de Nomes e Cargos,Quem é quem na administração pública paulista.,,,seade,,,http://www.seade.gov.br/produtos/rnc/,,,,HTML,,seade
Seade - Informações Eleitorais,"Resultado das eleições no Estado de São Paulo, com o histórico dos candidatos e partidos desde 1974.",,,seade,,,http://produtos.seade.gov.br/produtos/eleicoes/,,,,HTML,,seade
Seade - O Estado de São Paulo e suas Regionalizações,Organização territorial dos municípios e regiões paulistas.,,,seade,,,http://produtos.seade.gov.br/produtos/divpolitica/,,,,HTML,,seade
Seade - Mortaluidade Infantil,Dados e indicadores sobre mortalidade infantil nos municípios paulistas.,,,seade,,,http://www.seade.gov.br/produtos/mortalidade-infantil/,,,,HTML,,seade
Seade - Sistema de Informações Municipais para Educação - SIM Educação,"Panorama da oferta, demanda e resultados da educação básica no Estado de São Paulo.",,,seade,,,http://www.fde.sp.gov.br/simeducacao/graficos/mapas.html,,,,HTML,,seade
Seade - Indice Paulista de Responsabilidade Social - IPRS,"Indicador de qualidade de vida nos municípios pelas dimensões riqueza, escolaridade e longevidade.",,,seade,,,http://www.iprs.seade.gov.br/iprs2016/view/index.php?prodCod=1,,,,HTML,,seade
Seade - Indice Paulista de Vulnerabilidade Social - IPVS,"Indicador de desigualdade social e pobreza intramunicipal, em cada setor censitário.",,,seade,,,http://www.iprs.seade.gov.br/ipvs2010/view/index.php?prodCod=2,,,,HTML,,seade
Seade - PIB - Produto Interno Bruto,Indicador da geração de riqueza no Estado de São Paulo.,,,seade,,,http://www.seade.gov.br/produtos/pib-anual/,,,,HTML,,seade
Seade - Pesquisa de Investimentos Anunciados no Estado de São Paulo,Levantamento de anúncios de investimentos feitos por empresas nos municípios e regiões paulistas.,,,seade,,,http://www.piesp.seade.gov.br,,,,HTML,,seade
Seade - Pesquisa de Emprego e Desemprego - PED,"Informações sobre o mercado de trabalho, destacando desemprego, ocupação e rendimentos.",,,seade,,,http://www.seade.gov.br/produtos/ped-rmsp/,,,,HTML,,seade
Seade - Painel das Profissões,"Informações sobre profissões, formação profissional e mercado de trabalho formal nos municípios e regiões do Estado.",,,seade,,,http://www.seade.gov.br/profissoes/,,,,HTML,,seade
Seade - Indicadores Sebrae-SP de Conjuntura,"Pesquisa sobre faturamento e expectativas das micro e pequenas empresas e dos microempreendedores individuais, em parceria com o Sebrae-SP",,,seade,,,"http://www.sebrae.com.br/sites/PortalSebrae/ufs/sp/sebraeaz/indicadores-sebrae-em-sao-paulo,5508794363447510VgnVCM1000004c00210aRCRD",,,,HTML,,seade
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Scipopulis - velocidades dos trechos de SP,"Neste conjunto de dados disponibilizamos as velocidades médias (em km/h) dos trechos da cidade de São Paulo nos primeiros 7 dias de outubro de 2016 e 2017. Um trecho é o trajeto entre dois pontos de ônibus da cidade. Cada linha tem informação de um trecho e velocidade média hora a hora do dia (00 a 23) Qualquer dúvida entrar em contato em fale@scipopulis.com (ver arquivo README para formato dos dados)",,out/16 e out/17,Scipopulis,,,http://ftp.scipopulis.com/hackemtu/scipop/,,,,csv,,scipopulis
